320,90,1,0.572783
320,0,2,0.5496778
320,224,2,0.6051741
320,45,1,0.5421638
320,315,1,0.583395
320,270,3,0.5612144
320,180,3,0.7135124
320,135,2,0.666317
240,135,1,0.5398521
240,0,3,0.7072258
240,270,2,0.5796394
240,135,1,0.5169373
240,45,1,0.5772095
240,224,3,0.5271683
240,315,1,0.5063553
240,180,3,0.562645
240,90,2,0.5499268
80,90,1,0.3337173
80,90,1,0.3324432
80,315,2,0.3625336
80,180,3,0.3325653
80,0,2,0.468544
80,135,2,0.3853455
80,45,3,0.3850403
80,224,1,0.3499908
80,270,1,0.3513641
160,270,2,0.4000092
160,135,3,0.4525604
160,180,2,0.4323273
160,270,2,0.4213867
160,0,0,0.4321594
160,224,2,0.5809631
160,45,3,0.4813843
160,315,3,0.46492
160,90,2,0.5125732
